"taxon","year","height","cover"
"moss",2008,6,0.12
"moss",2008,3,0.3
"moss",2008,5,0.24
"moss",2008,1.5,0.54
"moss",2008,1.5,0.37
"moss",2010,5,0.14
"moss",2010,2.5,0.98
"moss",2010,0.5,0.94
"moss",2010,4.5,0.83
"moss",2010,2,0.69
"moss",2010,2,0.12
"moss",2010,2.5,0.08
"moss",2010,4.5,0.96
"moss",2010,2,0.11
"moss",2010,1.5,0.63
"moss",2010,3.5,0.41
"moss",2010,6.5,0.49
"moss",2010,4,0.23
"moss",2010,3.5,0.12
"moss",2010,3,0.15
"moss",2010,3.5,0.06
"moss",2010,4.5,0.71
"moss",2010,1.5,0.25
"moss",2010,4,0.1
"moss",2010,4,0.7
"moss",2013,5,0.37
"moss",2013,2,0.04
"moss",2013,5,0.55
"moss",2013,2,0.59
"moss",2013,4,0.9
"moss",2013,6.5,0.44
"moss",2013,6.5,0.31
"moss",2013,2.5,0.33
"moss",2013,2,0.21
"moss",2013,5.5,0.43
"moss",2013,3.5,0.96
"moss",2013,6,0.32
"moss",2013,3,0.43
"moss",2013,5,0.43
"moss",2013,5,0.25
"moss",2013,4,0.04
"moss",2013,3,0.85
"moss",2013,4,0.06
"moss",2013,3.5,0.66
"moss",2013,4,0.72
"shrubs",2003,4,0.14
"shrubs",2003,2.5,0.47
"shrubs",2003,4,0.81
"shrubs",2003,3.5,0.52
"shrubs",2003,3,0.67
"shrubs",2003,2.5,0.66
"shrubs",2003,1,0.87
"shrubs",2003,1.5,0.04
"shrubs",2003,2,0.75
"shrubs",2003,1.5,0.56
"shrubs",2003,2,0.14
"shrubs",2003,3,0.88
"shrubs",2003,2.5,0.6
"shrubs",2003,1,0.3
"shrubs",2003,2.5,0.04
"shrubs",2003,3,0.11
"shrubs",2003,1.5,0.37
"shrubs",2003,2,0.33
"shrubs",2003,2,0.59
"shrubs",2003,4,0.67
"shrubs",2005,1.5,0.16
"shrubs",2005,2.5,0.03
"shrubs",2005,4,0.18
"shrubs",2005,3.5,0.26
"shrubs",2005,4,0.18
"shrubs",2005,2,0.48
"shrubs",2005,2.5,0.76
"shrubs",2005,4,0.84
"shrubs",2005,3,0.1
"shrubs",2005,2.5,0.17
"shrubs",2005,5,0.01
"shrubs",2005,2.5,0.92
"shrubs",2005,3,0.52
"shrubs",2005,3,0.49
"shrubs",2005,3.5,0.2
"shrubs",2005,2.5,0.98
"shrubs",2005,4,0.86
"shrubs",2005,2,0.28
"shrubs",2005,3,0.97
"shrubs",2005,2.5,0.55
"shrubs",2008,4.5,0.41
"shrubs",2008,2.5,0.56
"shrubs",2008,2.5,0.91
"shrubs",2008,3,0.32
"shrubs",2008,2,0.98
"shrubs",2008,2.5,0.84
"shrubs",2008,2.5,0.74
"shrubs",2008,1.5,0.66
"shrubs",2008,1,0.19
"shrubs",2008,1.5,0.49
"shrubs",2008,1.5,0.19
"shrubs",2008,2,0.59
"shrubs",2008,4,0.26
"shrubs",2008,3.5,0.22
"shrubs",2008,3,0.67
"shrubs",2008,2.5,0.26
"shrubs",2008,3,0.11
"shrubs",2008,3,0.04
"shrubs",2008,2,0.42
"shrubs",2008,2,0.11
"shrubs",2010,4,0.9
"shrubs",2010,2.5,0.45
"shrubs",2010,4.5,0.49
"shrubs",2010,6,0.11
"shrubs",2010,3.5,0.45
"shrubs",2010,5,0.51
"shrubs",2010,5,0.71
"shrubs",2010,4.5,0.75
"shrubs",2010,5,0.53
"shrubs",2010,4.5,0.13
"shrubs",2010,5,0.64
"shrubs",2010,3.5,0.33
"shrubs",2010,6,0.11
"shrubs",2010,3.5,0.61
"shrubs",2010,3,0.37
"shrubs",2010,2.5,0.49
"shrubs",2010,4.5,0.04
"shrubs",2010,2.5,0.03
"shrubs",2010,7,0.18
"shrubs",2010,6,0.09
"shrubs",2013,3.5,0.06
"shrubs",2013,5.5,0.09
"shrubs",2013,4.5,0.02
"shrubs",2013,2,0.62
"shrubs",2013,3,0.1
"shrubs",2013,4,0.51
"shrubs",2013,3.5,0.97
"shrubs",2013,3.5,0.86
"shrubs",2013,2,0.04
"shrubs",2013,3.5,0.94
"shrubs",2013,5,0.94
"shrubs",2013,2.5,0.12
"shrubs",2013,5,0.06
"shrubs",2013,2,0.47
"shrubs",2013,4.5,0.44
"shrubs",2013,5.5,0.12
"shrubs",2013,3,0.93
"shrubs",2013,3.5,0.07
"shrubs",2013,6,0.84
"shrubs",2013,5,0.73
